0.005059	0.007431	0.008631	3418696106.211038
0.005041	0.007438	0.008451	3418696107.211038
0.005023	0.007432	0.008433	3418696108.211037
0.005041	0.007425	0.008523	3418696109.211037
0.005019	0.007420	0.008560	3418696110.211038
0.005019	0.007424	0.008351	3418696111.211038
0.005039	0.007421	0.008550	3418696112.211039
0.005041	0.007459	0.008281	3418696113.211036
0.005000	0.007418	0.008282	3418696114.211035
0.004970	0.007425	0.008354	3418696115.211056
0.004945	0.007398	0.008439	3418696116.211068
0.005022	0.007412	0.008508	3418696117.211044
0.005048	0.007453	0.008545	3418696118.211038
0.005044	0.007430	0.008738	3418696119.211039
0.005102	0.007442	0.008728	3418696120.211036
0.005077	0.007441	0.008321	3418696121.211162
0.005038	0.007428	0.008369	3418696122.211080
0.005003	0.007432	0.008350	3418696123.211048
0.005004	0.007428	0.008482	3418696124.211038
0.005029	0.007430	0.008539	3418696125.211038
0.005028	0.007425	0.008585	3418696126.211038
0.005039	0.007419	0.008486	3418696127.211037
0.005034	0.007418	0.008180	3418696128.211037
0.005052	0.007430	0.008340	3418696129.211038
0.005082	0.007432	0.008283	3418696130.211036
0.005056	0.007435	0.008137	3418696131.211040
0.005041	0.007430	0.008179	3418696132.211036
0.005049	0.007417	0.008335	3418696133.211038
0.005036	0.007434	0.008234	3418696134.211037
0.004991	0.007441	0.008381	3418696135.211039
0.005017	0.007427	0.008331	3418696136.211038
0.005028	0.007419	0.008306	3418696137.211037
0.005043	0.007422	0.008234	3418696138.211037
0.005022	0.007434	0.008430	3418696139.211037
0.005037	0.007397	0.008385	3418696140.211036
0.005009	0.007425	0.008358	3418696141.211181
0.005013	0.007441	0.008532	3418696142.211039
0.004968	0.007397	0.008235	3418696143.211036
0.004973	0.007462	0.008078	3418696144.211038
0.004960	0.007439	0.008308	3418696145.211036
0.004960	0.007426	0.008497	3418696146.211038
0.004999	0.007421	0.008441	3418696147.211036
0.005002	0.007438	0.008409	3418696148.211036
0.005015	0.007406	0.008552	3418696149.211036
0.005012	0.007423	0.008534	3418696150.211037
0.005039	0.007401	0.008623	3418696151.211038
0.005044	0.007420	0.008744	3418696152.211039
0.005075	0.007425	0.008423	3418696153.211036
0.005009	0.007443	0.008452	3418696154.211037
0.005056	0.007419	0.008537	3418696155.211037
0.005056	0.007432	0.008546	3418696156.211038
0.005057	0.007428	0.008702	3418696157.211037
0.005063	0.007408	0.008726	3418696158.211038
0.005085	0.007435	0.008740	3418696159.211036
0.005059	0.007410	0.008574	3418696160.211035
0.005050	0.007433	0.008529	3418696161.211125
0.005121	0.007397	0.008535	3418696162.211039
0.005093	0.007429	0.008509	3418696163.211037
0.005073	0.007419	0.008599	3418696164.211037
0.005099	0.007438	0.008640	3418696165.211037
0.005088	0.007398	0.008576	3418696166.211038
0.005095	0.007411	0.008610	3418696167.211038
0.005119	0.007424	0.008602	3418696168.211035
0.005097	0.007437	0.008570	3418696169.211038
0.005097	0.007398	0.008593	3418696170.211038
0.005106	0.007469	0.008503	3418696171.211039
0.005107	0.007420	0.008684	3418696172.211037
